name,P0,P1,gl,gb,nobs,m0,f0,fe0,s0,r0,re0,maxmed0,m1,f1,fe1,s1,r1,re1,maxmed1,m2,f2,fe2,s2,r2,re2,maxmed2,m3,f3,fe3,s3,r3,re3,maxmed3,m4,f4,fe4,s4,r4,re4,maxmed4,m5,f5,fe5,s5,r5,re5,maxmed5,m6,f6,fe6,s6,r6,re6,maxmed6,m7,f7,fe7,s7,r7,re7,maxmed7,index,ind_err,s1400,dm
J0030+0451,0.004865,1.02e-20,113.141,-57.611,67,2.106,2.673,0.227,1.856,0.694,0.119,5.396,1.687,2.165,0.156,1.278,0.59,0.094,3.498,1.619,1.803,0.121,0.994,0.552,0.085,3.011,1.352,1.488,0.092,0.753,0.506,0.075,2.966,1.115,1.261,0.072,0.586,0.465,0.067,2.978,1.03,1.116,0.053,0.432,0.387,0.052,2.583,0.908,0.988,0.044,0.359,0.364,0.048,2.349,0.803,0.83,0.034,0.28,0.337,0.043,2.302,-2.116,0.121,1.154,4.33346
J0101-6422,0.002573,5.110000000000001e-21,301.192,-52.72,39,0.291,0.504,0.096,0.599,1.187,0.362,10.582,0.341,0.398,0.047,0.29,0.73,0.169,3.767,0.276,0.316,0.031,0.196,0.621,0.133,2.652,0.189,0.269,0.026,0.164,0.61,0.129,3.351,0.213,0.247,0.022,0.137,0.556,0.113,2.661,0.211,0.244,0.02,0.126,0.519,0.103,2.571,0.198,0.209,0.018,0.11,0.526,0.105,2.758,0.145,0.172,0.015,0.093,0.541,0.109,2.856,-1.698,0.227,0.233,11.9221
J0125-2327,0.003675,1.84e-20,188.932,-81.569,76,3.876,4.649,0.402,3.5,0.753,0.126,4.573,3.438,4.229,0.362,3.159,0.747,0.125,4.406,3.008,3.69,0.324,2.821,0.765,0.129,3.735,3.262,4.033,0.35,3.054,0.757,0.128,4.104,2.926,3.556,0.272,2.375,0.668,0.106,3.833,2.656,3.161,0.241,2.103,0.665,0.105,3.467,2.419,2.612,0.162,1.416,0.542,0.078,3.101,2.169,2.51,0.175,1.525,0.608,0.092,3.386,-1.159,0.155,3.075,9.59714
J0437-4715,0.005757,5.73e-20,253.394,-41.964,109,241.967,264.775,11.431,119.341,0.451,0.05,2.583,217.253,233.707,9.397,98.109,0.42,0.045,2.244,198.193,204.594,7.601,79.358,0.388,0.041,2.112,171.902,177.352,6.077,63.444,0.358,0.037,2.181,152.299,155.567,4.982,52.014,0.334,0.033,2.119,135.341,136.527,3.982,41.571,0.304,0.03,1.988,115.869,120.268,3.242,33.851,0.281,0.027,2.119,102.26,103.833,2.641,27.574,0.266,0.025,1.908,-1.764,0.068,139.112,2.64468
J0610-2100,0.003861,1.23e-20,227.747,-18.184,73,1.003,1.051,0.043,0.366,0.348,0.043,2.025,0.901,0.917,0.036,0.307,0.335,0.041,2.107,0.822,0.897,0.053,0.455,0.508,0.072,3.826,0.722,0.806,0.057,0.49,0.608,0.094,3.849,0.618,0.713,0.042,0.359,0.503,0.072,3.036,0.578,0.651,0.045,0.381,0.586,0.089,4.39,0.511,0.634,0.05,0.429,0.676,0.11,5.19,0.497,0.568,0.044,0.373,0.657,0.105,5.291,-1.092,0.112,0.68,60.68693
J0613-0200,0.003062,9.59e-21,210.413,-9.305,71,4.309,4.468,0.148,1.248,0.279,0.033,1.826,3.676,3.706,0.13,1.097,0.296,0.035,1.967,3.184,3.34,0.121,1.021,0.306,0.037,1.817,2.621,2.78,0.117,0.988,0.355,0.045,2.412,2.299,2.455,0.11,0.926,0.377,0.049,2.978,1.943,2.01,0.092,0.772,0.384,0.05,3.02,1.62,1.746,0.067,0.566,0.324,0.04,2.052,1.412,1.515,0.074,0.623,0.411,0.055,2.873,-1.969,0.077,2.109,38.77552
J0614-3329,0.003149,1.75e-20,240.501,-21.827,88,1.339,1.481,0.068,0.642,0.433,0.053,3.222,1.154,1.238,0.056,0.528,0.427,0.052,2.398,0.948,1.022,0.055,0.521,0.51,0.066,3.05,0.824,0.928,0.054,0.51,0.549,0.074,3.905,0.708,0.78,0.049,0.458,0.587,0.081,3.495,0.574,0.658,0.057,0.536,0.814,0.132,7.224,0.494,0.686,0.075,0.702,1.024,0.189,9.875,0.456,0.505,0.043,0.399,0.79,0.126,5.407,-1.874,0.129,0.708,37.0543
J0636-3044,0.003946,,239.683,-16.344,56,1.045,2.311,0.505,3.777,1.634,0.513,19.872,1.077,1.832,0.271,2.029,1.108,0.27,10.449,1.12,1.859,0.301,2.251,1.21,0.311,10.133,1.303,1.784,0.271,2.028,1.137,0.281,8.655,0.887,1.568,0.232,1.737,1.108,0.27,9.947,0.959,1.515,0.234,1.753,1.157,0.289,9.024,0.898,1.43,0.217,1.62,1.133,0.279,9.57,1.058,1.325,0.179,1.341,1.012,0.233,7.201,-0.864,0.325,1.527,15.4579
J0711-6830,0.005491,1.49e-20,279.531,-23.28,76,3.881,5.964,0.675,5.886,0.987,0.192,7.542,2.967,4.384,0.477,4.155,0.948,0.18,6.937,2.788,4.069,0.518,4.517,1.11,0.232,8.519,2.107,3.918,0.744,6.482,1.655,0.449,25.058,1.819,3.655,0.884,7.704,2.108,0.682,35.201,1.302,3.151,0.579,5.047,1.602,0.425,20.749,1.597,2.978,0.574,5.001,1.679,0.461,19.658,1.271,2.13,0.314,2.734,1.284,0.294,11.092,-1.584,0.276,3.003,18.40966
J0900-3144,0.01111,-3.81e-20,256.162,9.486,76,5.704,5.837,0.066,0.572,0.098,0.009,1.293,5.332,5.413,0.067,0.585,0.108,0.01,1.299,4.926,4.999,0.066,0.576,0.115,0.011,1.294,4.394,4.523,0.06,0.521,0.115,0.011,1.302,4.016,4.081,0.053,0.462,0.113,0.011,1.308,3.664,3.666,0.045,0.393,0.107,0.01,1.232,3.277,3.301,0.04,0.348,0.106,0.01,1.276,2.955,2.941,0.04,0.346,0.118,0.011,1.287,-1.25,0.024,3.718,75.68835
